,PM2.5,PM10,NO2,SO2,NH3,CO,Ozone,SO2i,NOi,PM25i,PM10i,Ozonei,NH3i,COi,AQI,AQI_Range
3559,41.18,127.18,15.11,12.99,45.26,0.53,16.49,16.2375,18.8875,68.63333333333333,147.18,16.49,11.315,26.5,147.18,Moderately Polluted
3560,37.16,105.89,29.1,8.23,51.35,0.87,7.83,10.287500000000001,36.375,61.93333333333333,125.89,7.83,12.8375,43.5,125.89,Moderately Polluted
3561,15.96,46.81,19.22,8.67,61.67,0.68,10.86,10.8375,24.025,26.6,58.5125,10.86,15.4175,34.0,58.5125,Satisfactory
3562,25.61,54.59,12.66,6.44,53.89,0.88,14.6,8.05,15.825,42.68333333333334,68.23750000000001,14.6,13.4725,44.0,68.23750000000001,Satisfactory
3563,34.9,80.5,60.64779004169733,4.5,44.78,0.77,13.61,5.625,75.80973755212166,58.166666666666664,100.625,13.61,11.195,38.5,100.625,Moderately Polluted
3564,27.17,106.08,17.03,7.62,39.22,0.64,8.12,9.525,21.2875,45.28333333333334,126.08,8.12,9.805,32.0,126.08,Moderately Polluted
3565,21.02,77.5,19.8,5.09,35.59,0.66,3.92,6.3625,24.75,35.03333333333333,96.875,3.92,8.8975,33.0,96.875,Satisfactory
3566,20.48,61.75,15.32,4.48,36.04,0.49,9.19,5.6000000000000005,19.15,34.13333333333333,77.1875,9.19,9.01,24.5,77.1875,Satisfactory
3567,33.6,152.27,16.63,8.64,34.83,0.57,7.72,10.8,20.7875,56.0,172.27,7.72,8.7075,28.499999999999996,172.27,Moderately Polluted
3568,36.44,157.65,16.15,5.69,37.91,0.62,3.59,7.112500000000001,20.187499999999996,60.733333333333334,177.65,3.59,9.4775,31.0,177.65,Moderately Polluted
3569,44.58,132.46,18.76,7.45,45.5,0.78,15.91,9.3125,23.450000000000003,74.3,152.46,15.91,11.375,39.0,152.46,Moderately Polluted
